Topic,Label,Count,Percentage,Keywords
19,Caffeine and alcohol consumption,1883,0.44095572411112177,"coffee, drink, alcoholic, caffeine, tea, drinking, alcohol, beer, drunk, starbucks"
20,Academic Stress Dynamics,1746,0.40887344359958505,"school, teacher, students, class, college, grades, professor, exam, student, semester"
21,Medical Misdiagnosis Experience,1664,0.3896709107386652,"doctors, doctor, patients, medical, gp, patient, pain, aampe, nurse, dr"
22,Indian Political Drama,1655,0.3875633156685643,"india, modi, indian, bjp, pakistan, narendramodi, kashmir, hindus, govt, indians"
23,Stiffened Friends Stimulation,1490,0.34892407271671344,"stiffened, corpses, stimulate, friends, help, mind, little, neurotic, fibre, miracle"
24,Urban Anxiety Syndrome,1359,0.318246855585244,"city, new, nyc, york, yorkers, yorker, la, state, coast, california"
25,Debt Collector Distress,1248,0.2922531830539989,"collectors, begun, darn, hook, debt, track, lose, phone, days, today"
26,Mask Wear Behavior,1186,0.27773419479330347,"mask, masks, wear, wearing, people, outside, face, vaccinated, kids, masking"
27,Truthful Politicians' Message,1161,0.27187976404302305,"truth, politicians, pigheaded, reading, psychotic, things, want, gimme, lennon, hearing"
28,Totally Insecure Adequacy,1144,0.26789875113283235,"inadequate, totally, completely, paranoid, insecure, neurotic, loads, incredibly, insecurity, extremely"
29,Trusting Transformation Character,1127,0.26391773822264164,"mattered, moment, long, proved, trusting, conscientious, truly, themself, turned, jessie"
30,Heroic Character Personalities,1103,0.25829748470237246,"batman, lex, peter, spiderman, superman, luthor, joker, superhero, parker, marvel"
31,Santa's Lists Crazy,1083,0.2536139401021481,"santas, lists, naughty, nerfherders, napoleonic, nuts, necromancers, needy, complete, heres"
32,Fat Cat Behavior Study,1067,0.24986710442196866,"freemorgan, 102012, drvisser, loroparque, stereotypicalneurotic, noted, morgan, blackfish, behaviors, bigger"
33,Anxious Flight Travelers,1036,0.2426076102916209,"flight, airport, travel, plane, flying, early, hours, flights, fly, gate"
34,Grammar Obsession & Typos,1026,0.24026583799150875,"grammar, typos, spelling, correct, typo, tweet, english, autocorrect, delete, edit"
35,Jealousy Symptom Insecurity,1021,0.23909495184145263,"jealousy, invariably, symptom, insecurity, incapable, competent, selfconfident, heinlein, person, robert"
36,Sleep struggles description,999,0.2339430527812059,"sleep, night, bed, awake, hours, sleeping, nap, tired, asleep, im"
37,Clothing Preferences,973,0.22785444480091424,"wear, socks, shoes, wearing, shirt, clothes, dress, pants, jeans, outfit"
38,Troubled Characters Discovery,964,0.2257468497308133,"neuroticforbes, shadow, shadowmartyr, said, caroline, eyes, torturedhaunt, elena, simplymox, vampire"
39,Car Maintenance Concern,936,0.2191898872904992,"car, driver, drive, driving, drivers, cars, parking, uber, road, traffic"
40,Scorpio insights and vibes,896,0.20982279809005053,"httpstco4dvg0fge2x, scorpio, today, httpstco4dvg0fxpr7, grupo, youre, truck, yo, work, th"
41,Gun Violence Issue,895,0.2095886208600393,"rapidfire, gun, guns, assholes, nra, ghun, ghuns, weapons, kristian, amp"
42,Captive Bird Behavior,886,0.20748102578993835,"bird, animals, birds, zoos, parrot, parrots, animal, humans, pigeons, feathers"
43,Seasonal Weather Patterns,823,0.19272786029923167,"weather, snow, rain, winter, cold, summer, temperature, spring, lightning, warm"
44,Hair Care Obsession,775,0.18148735325869325,"hair, shave, haircut, cut, beard, eyebrows, shaving, im, dye, bald"
45,Divine Worship Warning,752,0.17610127696843525,"undoing, worship, short, 1960, god, mclaughlin, mignon, notebook, sure, neurotics"
46,Dual Desires Hell,747,0.17493039081837916,"mutually, exclusive, wanting, hell, things, time, im, neurotic, timeim, aldubebforlove"
47,Love Scars Beauty,709,0.16603165607795292,"leaves, scars, ugly, 1966, beautiful, ones, second, mignon, mclaughlin, notebook"
48,Email Handling Habits,708,0.1657974788479417,"email, emails, text, inbox, notifications, messages, texts, send, texting, unread"
49,Joyful Dance Celebration,701,0.16415823823786319,"celebration, neurotic, hypercathected, halfconscious, hemimistry, whippingcheer, bluecheck, promulgated, plonker, neuroticanxiety"
50,Face Perception Study,691,0.161816465937751,"faces, objects, likely, things, people, mentalfloss, pronounce, rt, thescienceofus, face"
51,Game Obsession Concentration,665,0.15572785795745936,"game, games, play, played, playing, switch, nintendo, gaming, like, mario"
52,Recent cautious behavior,640,0.14987342720717894,"recently, acting, cautious, sucks, accepting, unfortunately, emory, like, jessie, avery"
53,Market Behavior Analysis,637,0.14917089551714527,"market, markets, bitcoin, stock, crypto, trading, traders, investors, btc, price"
54,AI Robots Innovation Mind,577,0.13512026171647226,"ai, robot, robots, machines, hal, intelligence, tech, humans, artificial, agreeable"
55,Silent Mind Secrets,569,0.13324684387638253,"neuroticfouini, ang, na, undang, dong, lang, sa, ocneurotic, po, ako"
56,Smoking Impact on Mental Health,564,0.13207595772632644,"weed, smoke, smoking, tobacco, cannabis, pot, reduces, smoked, marijuana, vape"
57,Obsessive Planning Syndrome,557,0.13043671711624794,"planner, planning, organized, list, lists, todo, calendar, plan, plans, im"
58,Sensual Word Play,557,0.13043671711624794,"erotic, spell, said, meant, sexy, sex, horny, word, neurotic, kink"
59,Financial Anxiety Tracker,548,0.12832912204614697,"money, card, credit, bank, pay, account, im, order, cash, savings"
60,Air Castle Builder,542,0.12692405866607967,"castles, builds, air, yahoohealth, introvert, common, llm, aldubnation, state, type"
61,Managing Pain Effectively,533,0.12481646359597871,"doctor, pain, 1960, let, mclaughlin, mignon, notebook, great, neurotics, accepting"
62,Perfectionist Struggles,503,0.1177911466956422,"perfectionist, perfectionism, perfectionists, perfection, perfect, bound, totality, passes, enjoy, happens"
63,Emotional Turmoil Discovery,496,0.11615190608556367,"youre, im, know, like, neurotic, izuku, thats, just, think, dont"
64,Lot Hate Trade 1966,493,0.11544937439553003,"hate, lot, trade, 1966, wouldnt, second, mclaughlin, mignon, notebook, neurotics"
65,Welsh Personality Traits,493,0.11544937439553003,"welsh, scots, maps, agreeable, according, london, peo, personality, imagination, new"
66,Dream Analysis,484,0.11334177932542906,"dream, dreams, nightmares, night, nightmare, dreaming, fear, dreamt, dreamed, daydreaming"
67,Defense Mechanism of Projection,475,0.11123418425532812,"projection, attribute, unacceptable, doth, methinks, motives, attitudes, thou, mechanism, project"
68,Creative Overthinking Insights,475,0.11123418425532812,"creativity, overthinking, driving, disorders, people, thenextweb, fela, kuti, jingle, musicians"
69,Manic Productivity Tricks,472,0.11053165256529446,"productivity, manicdepressive, tricks, tferriss, crazy, ferriss, tim, sexualharassments, matriarchs, clabme"
70,American Society Issues,465,0.10889241195521594,"americans, america, country, american, nation, state, government, world, usa, states"
71,Fearful Liberation,459,0.10748734857514863,"liberating, freedom, fear, neurotic, proverbs, neuroticfreedom, liberatinghappyworldaidsday, proveerrbs, impproverbs, unbowed"
72,Climate Change Alarmism,448,0.10491139904502526,"climate, change, warming, global, nuclear, green, co2, fossil, alarmists, climatechange"
73,Lonely Whale Exploitation,445,0.1042088673549916,"degrading, profits, seaworld, spermbank, tilikum, cruel, reduced, lonely, blackfish, sad"
74,Blockade Behavior Analysis,416,0.0974177276846663,"blocked, block, blocking, blocks, unblocked, accounts, account, twitter, banned, people"
75,Dramatic Social Media Reactions,394,0.09226582862441954,"crying, omg, thread, wtf, httpstcopfwzj4ov4g, babe, rofl, umm, boi, bro"
76,Perfect Human Qualities,390,0.09132911970437467,"tough, perfection, near, parts, 1966, quiet, human, second, funny, kind"
77,Ethical Decision Making,372,0.08711392956417276,"196, outweighs, barely, httpstcov3cpzve70s, sodomneurotic, burning, 2014, fest, thrash, mclaughlin"
78,Wholehearted Quotes 1960,348,0.08149367604390355,"wholeheartedly, 1960, mclaughlin, mignon, notebook, neurotics, favouritequotes, romanceauthors, rahv, optiongi"
79,Social Anxiety Guide,346,0.08102532158388112,"guide, small, talk, neurotics, neurons, interactive, inside, brain, anxious, look"
80,Millennial Generational Dynamics,345,0.0807911443538699,"millennials, generation, boomers, gen, millennial, boomer, millenials, zoomers, genx, parents"
81,Plant Care Insights,344,0.08055696712385868,"plants, plant, nature, gardener, trees, lawn, flower, water, gardening, garden"
82,Roommate Woes,338,0.07915190374379137,"roommate, roommates, apartment, house, landlord, living, live, im, rent, neighbors"
83,Skin Music Promo Indie,332,0.07774684036372408,"skin, bimaalt95, getplayed, indie, httpstcofqqusdd3ov, wreck, httpstco7ebldjyt53, httpstcofqqusdueg3, promo, metal"
84,Creepy Crawly Obsessions,331,0.07751266313371286,"spider, spiders, bugs, wasps, ants, wasp, snake, insects, mosquitoes, fly"
85,Selective Friendships,328,0.07681013144367921,"friends, friend, im, dont, people, friendships, like, friendship, just, feel"
86,Birthday Blessings and Love,325,0.07610759975364555,"birthday, happy, bday, best, love, day, hope, favorite, wishes, today"
87,Castle Air Rent Psychotic,314,0.07353165022352216,"builds, rent, collects, castle, psychiatrist, lives, man, air, psychotic, castles"
88,Festive Holiday Behavior,312,0.07306329576349972,"christmas, holidays, merry, holiday, tree, santa, xmas, drive, ornaments, season"
89,Color Psychology Palette,310,0.0725949413034773,"color, colors, colour, pink, blue, red, goth, green, yellow, purple"
